Store Name,Address,Instagram,Store Type,City,# of Stores,State,ZIP Code,Customers,Brands,Categories,Specialties,Website,Phone,Facebook,Twitter
107 Market And Deli,"107 Black Mountain Ave., Black Mountain, NC, 28711",https://www.instagram.com/direct/t/113704166694681/,Deli/Prepared Foods,Black Mountain,1,NC,28711,,spice_walla,,,,,,
173 Mercantile,"173 Port Road, Kennebunk, ME 04043, United States of America",https://www.instagram.com/173mercantile/,Boutique Grocer,Kennebunk,1,ME,4043,,brightland,Gifts; Hobbyist Supplies; Adventure Gear; Home Goods; Decor; Art Supplies; Stationery; Kitchenware; Clothing; Accessories,local; artisanal; curated; thoughtful gifting,https://173mercantile.com/,207-251-6098,,
1748 Bakehouse,"1748 Main Street, Jacksonville, FL 32206, United States of America",https://www.instagram.com/direct/t/115027623221722/,Bakery,Jacksonville,2,FL,32206,,shuug; spice_walla,,,,,,
1811 Bar Room & Speciality Shop,"7730 Chippewa Road, Brecksville, OH 44141, United States of America",https://www.instagram.com/1811_bar_room/,Independent Grocery,Brecksville,1,OH,44141,,brightland,Cocktails; Wine; Small Bites; Private Events; Corporate Gifts; Design Services; Children's Shop; Specialty Shop; Seasonal Sips; Trivia Nights,craft cocktails; seasonal; intimate; curated wine list; private events,https://www.1811home.com/barroom,(440) 630-9411,https://www.facebook.com/p/1811-Bar-Room-100091411097500/,
1st National Gifts,"2 East Genesee Street, Village of Skaneateles, NY 13152, United States of America",https://www.instagram.com/direct/t/111495926914159/,Independent Grocery,Skaneateles,1,NY,13152,,spice_walla,,,,,,
211 To Waterloo,"1314 Chattahoochee Avenue Northwest, Atlanta, GA 30318, United States of America",https://www.instagram.com/211towaterloo/,Boutique Grocer,Atlanta,3,GA,30318,,brightland; masa_chips; spice_walla,Gift Boxes; Gourmet Food Items; High Tech Gadgets; Personalized Gifts; Branded Packaging; Curated Gifts; Custom Design; Corporate Gifts; Holiday Collection; Unique Gifts,curated; personalized; branded; gourmet; custom design,https://211towaterloo.com/,,https://www.facebook.com/211towaterloo,
3 Js,"3J's Food Market, 801 North 2nd Street, Philadelphia, PA 19123, United States of America",https://www.instagram.com/3jsfoodmarket,Deli/Prepared Foods,Philadelphia,2,PA,19123,,behave; freestyle_snacking; culture_pop,Salads; Groceries; Fresh Food; Hot Food; Cold Food,local; prepared foods,,,,
317 Main Street,"317 Main Street, Village of Farmingdale, NY 11735, United States of America",https://www.instagram.com/317mainstreet/,Independent Grocery,Farmingdale,1,NY,11735,,culture_pop,,,,,,
320 Market Cafe/Media,"Swarthmore TrueValue Hardware, 11 South Chester Road, Swarthmore, PA 19081, United States of America",https://www.instagram.com/truevalue/,Independent Grocery,Swarthmore,1,PA,19081-2710,,culture_pop,,,,,http://facebook.com/swarthmorehardware,https://twitter.com/truevalue
400 Organic And Natural Inc,"WHITEROOM Salon and Apothecary, 113 South 6th Street, New York, NY 11249, United States of America",https://www.instagram.com/whiteroombrooklyn/,Natural/Organic Market,Brooklyn,1,NY,11249,,culture_pop,,craft; style; understated luxury; Brooklyn sensibility,,,https://www.facebook.com/WHITEROOMBROOKLYN,
